filename,ILP level<=1?,ILP runtime
n=8_r=300_l=2_m=60_0.txt,False,3.1103
n=8_r=300_l=2_m=60_1.txt,True,0.1607
n=8_r=300_l=2_m=60_2.txt,False,0.0974
n=8_r=300_l=2_m=60_3.txt,False,4.9034
n=8_r=300_l=2_m=60_4.txt,True,1.9636
n=8_r=300_l=2_m=60_5.txt,True,0.6103
n=8_r=300_l=2_m=60_6.txt,True,0.6901
n=8_r=300_l=2_m=60_7.txt,True,0.1275
n=8_r=300_l=2_m=60_8.txt,True,2.1236
n=8_r=300_l=2_m=60_9.txt,False,0.0807
n=8_r=300_l=2_m=60_10.txt,False,0.0799
n=8_r=300_l=2_m=60_11.txt,False,0.0964
n=8_r=300_l=2_m=60_12.txt,True,0.7425
n=8_r=300_l=2_m=60_13.txt,True,0.1208
n=8_r=300_l=2_m=60_14.txt,True,5.6457
n=8_r=300_l=2_m=60_15.txt,False,0.0839
n=8_r=300_l=2_m=60_16.txt,False,0.7414
n=8_r=300_l=2_m=60_17.txt,True,0.1316
n=8_r=300_l=2_m=60_18.txt,False,0.0739
n=8_r=300_l=2_m=60_19.txt,True,0.1665
n=8_r=300_l=2_m=60_20.txt,True,2.5972
n=8_r=300_l=2_m=60_21.txt,True,10.4336
n=8_r=300_l=2_m=60_22.txt,True,1.2011
n=8_r=300_l=2_m=60_23.txt,True,0.1884
n=8_r=300_l=2_m=60_24.txt,True,2.7443
n=8_r=300_l=2_m=60_25.txt,False,0.4764
n=8_r=300_l=2_m=60_26.txt,True,1.1536
n=8_r=300_l=2_m=60_27.txt,False,8.1404
n=8_r=300_l=2_m=60_28.txt,False,6.9548
n=8_r=300_l=2_m=60_29.txt,False,0.0851
n=8_r=300_l=2_m=60_30.txt,True,0.6695
n=8_r=300_l=2_m=60_31.txt,True,0.1345
n=8_r=300_l=2_m=60_32.txt,False,1.0239
n=8_r=300_l=2_m=60_33.txt,False,3.5832
n=8_r=300_l=2_m=60_34.txt,True,0.5381
n=8_r=300_l=2_m=60_35.txt,False,0.1139
n=8_r=300_l=2_m=60_36.txt,False,5.8797
n=8_r=300_l=2_m=60_37.txt,False,2.1434
n=8_r=300_l=2_m=60_38.txt,False,0.3484
n=8_r=300_l=2_m=60_39.txt,True,0.1335
n=8_r=300_l=2_m=60_40.txt,True,0.6133
n=8_r=300_l=2_m=60_41.txt,True,0.7261
n=8_r=300_l=2_m=60_42.txt,False,0.0786
n=8_r=300_l=2_m=60_43.txt,True,0.5502
n=8_r=300_l=2_m=60_44.txt,True,0.5492
