filename,ILP level<=1?,ILP runtime
n=8_r=800_l=2_m=160_0.txt,False,20.8520
n=8_r=800_l=2_m=160_1.txt,False,33.3687
n=8_r=800_l=2_m=160_2.txt,True,2.6340
n=8_r=800_l=2_m=160_3.txt,True,23.6493
n=8_r=800_l=2_m=160_4.txt,False,0.2154
n=8_r=800_l=2_m=160_5.txt,True,95.3080
n=8_r=800_l=2_m=160_6.txt,True,14.8628
n=8_r=800_l=2_m=160_7.txt,True,20.9895
n=8_r=800_l=2_m=160_8.txt,True,1.7207
n=8_r=800_l=2_m=160_9.txt,True,417.2249
n=8_r=800_l=2_m=160_10.txt,False,49.0097
n=8_r=800_l=2_m=160_11.txt,False,24.7539
n=8_r=800_l=2_m=160_12.txt,True,24.0148
n=8_r=800_l=2_m=160_13.txt,True,27.7351
n=8_r=800_l=2_m=160_14.txt,True,18.3653
n=8_r=800_l=2_m=160_15.txt,True,7.2825
n=8_r=800_l=2_m=160_16.txt,True,24.1401
n=8_r=800_l=2_m=160_17.txt,True,10.3185
n=8_r=800_l=2_m=160_18.txt,False,0.2321
n=8_r=800_l=2_m=160_19.txt,False,0.1946
n=8_r=800_l=2_m=160_20.txt,False,12.1552
n=8_r=800_l=2_m=160_21.txt,True,0.3742
n=8_r=800_l=2_m=160_22.txt,True,3.7717
n=8_r=800_l=2_m=160_23.txt,False,27.7512
n=8_r=800_l=2_m=160_24.txt,False,38.3460
n=8_r=800_l=2_m=160_25.txt,True,20.2725
n=8_r=800_l=2_m=160_26.txt,True,21.1385
n=8_r=800_l=2_m=160_27.txt,True,16.2692
n=8_r=800_l=2_m=160_28.txt,True,8.3317
n=8_r=800_l=2_m=160_29.txt,True,18.1557
n=8_r=800_l=2_m=160_30.txt,False,0.2322
n=8_r=800_l=2_m=160_31.txt,True,25.2979
n=8_r=800_l=2_m=160_32.txt,True,48.7790
n=8_r=800_l=2_m=160_33.txt,False,0.2166
n=8_r=800_l=2_m=160_34.txt,False,41.1382
n=8_r=800_l=2_m=160_35.txt,False,26.7389
n=8_r=800_l=2_m=160_36.txt,True,1.0446
n=8_r=800_l=2_m=160_37.txt,True,10.4372
n=8_r=800_l=2_m=160_38.txt,True,1.1966
n=8_r=800_l=2_m=160_39.txt,True,2.3327
n=8_r=800_l=2_m=160_40.txt,False,10.4009
n=8_r=800_l=2_m=160_41.txt,True,25.4880
n=8_r=800_l=2_m=160_42.txt,True,22.6920
n=8_r=800_l=2_m=160_43.txt,False,0.2497
n=8_r=800_l=2_m=160_44.txt,True,3.0522
n=8_r=800_l=2_m=160_45.txt,True,7.5808
n=8_r=800_l=2_m=160_46.txt,False,0.2900
n=8_r=800_l=2_m=160_47.txt,False,21.9199
n=8_r=800_l=2_m=160_48.txt,True,4.9455
n=8_r=800_l=2_m=160_49.txt,False,0.2121
n=8_r=800_l=2_m=160_50.txt,False,0.2380
n=8_r=800_l=2_m=160_51.txt,False,0.2335
n=8_r=800_l=2_m=160_52.txt,True,3.8841
n=8_r=800_l=2_m=160_53.txt,True,16.4934
n=8_r=800_l=2_m=160_54.txt,True,22.6464
n=8_r=800_l=2_m=160_55.txt,False,36.6516
n=8_r=800_l=2_m=160_56.txt,True,17.3570
n=8_r=800_l=2_m=160_57.txt,False,0.2155
n=8_r=800_l=2_m=160_58.txt,True,8.5725
n=8_r=800_l=2_m=160_59.txt,True,39.9752
n=8_r=800_l=2_m=160_60.txt,False,0.2123
n=8_r=800_l=2_m=160_61.txt,True,17.5387
n=8_r=800_l=2_m=160_62.txt,True,19.2357
n=8_r=800_l=2_m=160_63.txt,True,21.9509
n=8_r=800_l=2_m=160_64.txt,True,29.0765
n=8_r=800_l=2_m=160_65.txt,False,27.0131
n=8_r=800_l=2_m=160_66.txt,True,39.4859
n=8_r=800_l=2_m=160_67.txt,False,41.0170
n=8_r=800_l=2_m=160_68.txt,True,1.7596
n=8_r=800_l=2_m=160_69.txt,True,22.4196
n=8_r=800_l=2_m=160_70.txt,True,25.7986
n=8_r=800_l=2_m=160_71.txt,True,21.4611
n=8_r=800_l=2_m=160_72.txt,True,10.4786
n=8_r=800_l=2_m=160_73.txt,True,24.0306
n=8_r=800_l=2_m=160_74.txt,True,4.3103
n=8_r=800_l=2_m=160_75.txt,True,35.7966
n=8_r=800_l=2_m=160_76.txt,True,55.2466
n=8_r=800_l=2_m=160_77.txt,False,0.2129
n=8_r=800_l=2_m=160_78.txt,True,30.8764
n=8_r=800_l=2_m=160_79.txt,True,34.1776
n=8_r=800_l=2_m=160_80.txt,True,8.4241
n=8_r=800_l=2_m=160_81.txt,True,34.0044
n=8_r=800_l=2_m=160_82.txt,True,3.4292
n=8_r=800_l=2_m=160_83.txt,False,0.2171
n=8_r=800_l=2_m=160_84.txt,False,187.7414
n=8_r=800_l=2_m=160_85.txt,True,4.3214
n=8_r=800_l=2_m=160_86.txt,False,0.2645
n=8_r=800_l=2_m=160_87.txt,False,14.8322
n=8_r=800_l=2_m=160_88.txt,False,0.2314
n=8_r=800_l=2_m=160_89.txt,False,38.5343
n=8_r=800_l=2_m=160_90.txt,True,5.2774
n=8_r=800_l=2_m=160_91.txt,False,1.5355
n=8_r=800_l=2_m=160_92.txt,True,21.5306
n=8_r=800_l=2_m=160_93.txt,True,18.9349
n=8_r=800_l=2_m=160_94.txt,True,20.7896
n=8_r=800_l=2_m=160_95.txt,True,4.8685
n=8_r=800_l=2_m=160_96.txt,True,0.4308
n=8_r=800_l=2_m=160_97.txt,True,96.2068
n=8_r=800_l=2_m=160_98.txt,True,19.4984
n=8_r=800_l=2_m=160_99.txt,False,0.4680
