filename,ILP level<=1?,ILP runtime
n=8_r=200_l=2_m=40_0.txt,False,0.4006
n=8_r=200_l=2_m=40_1.txt,False,0.0592
n=8_r=200_l=2_m=40_2.txt,False,0.0557
n=8_r=200_l=2_m=40_3.txt,True,0.0648
n=8_r=200_l=2_m=40_4.txt,True,0.3338
n=8_r=200_l=2_m=40_5.txt,True,0.1111
n=8_r=200_l=2_m=40_6.txt,True,0.0891
n=8_r=200_l=2_m=40_7.txt,False,0.8998
n=8_r=200_l=2_m=40_8.txt,False,2.6288
n=8_r=200_l=2_m=40_9.txt,True,0.1153
n=8_r=200_l=2_m=40_10.txt,True,0.6103
n=8_r=200_l=2_m=40_11.txt,True,0.2692
n=8_r=200_l=2_m=40_12.txt,False,0.0601
n=8_r=200_l=2_m=40_13.txt,True,0.2937
n=8_r=200_l=2_m=40_14.txt,False,0.4962
n=8_r=200_l=2_m=40_15.txt,True,0.2401
n=8_r=200_l=2_m=40_16.txt,False,1.1831
n=8_r=200_l=2_m=40_17.txt,False,0.0566
n=8_r=200_l=2_m=40_18.txt,False,0.0576
n=8_r=200_l=2_m=40_19.txt,True,0.1075
n=8_r=200_l=2_m=40_20.txt,True,0.4310
n=8_r=200_l=2_m=40_21.txt,False,1.0249
n=8_r=200_l=2_m=40_22.txt,False,0.0671
n=8_r=200_l=2_m=40_23.txt,True,0.1195
n=8_r=200_l=2_m=40_24.txt,True,0.1078
n=8_r=200_l=2_m=40_25.txt,False,1.3304
n=8_r=200_l=2_m=40_26.txt,True,0.0980
n=8_r=200_l=2_m=40_27.txt,False,0.1345
n=8_r=200_l=2_m=40_28.txt,True,1.2420
n=8_r=200_l=2_m=40_29.txt,False,0.0512
n=8_r=200_l=2_m=40_30.txt,False,0.1118
n=8_r=200_l=2_m=40_31.txt,True,0.6952
n=8_r=200_l=2_m=40_32.txt,True,0.1007
n=8_r=200_l=2_m=40_33.txt,True,0.2484
n=8_r=200_l=2_m=40_34.txt,False,0.0565
n=8_r=200_l=2_m=40_35.txt,True,0.1656
n=8_r=200_l=2_m=40_36.txt,False,0.0595
n=8_r=200_l=2_m=40_37.txt,False,0.0603
n=8_r=200_l=2_m=40_38.txt,False,4.8171
n=8_r=200_l=2_m=40_39.txt,True,0.2684
n=8_r=200_l=2_m=40_40.txt,False,0.1341
n=8_r=200_l=2_m=40_41.txt,True,0.1444
n=8_r=200_l=2_m=40_42.txt,True,0.0885
n=8_r=200_l=2_m=40_43.txt,False,0.4533
n=8_r=200_l=2_m=40_44.txt,False,0.7711
n=8_r=200_l=2_m=40_45.txt,False,0.0520
n=8_r=200_l=2_m=40_46.txt,True,0.1595
n=8_r=200_l=2_m=40_47.txt,True,0.0919
n=8_r=200_l=2_m=40_48.txt,True,0.0671
n=8_r=200_l=2_m=40_49.txt,True,0.0973
n=8_r=200_l=2_m=40_50.txt,False,1.0052
n=8_r=200_l=2_m=40_51.txt,True,0.0708
n=8_r=200_l=2_m=40_52.txt,True,0.3270
n=8_r=200_l=2_m=40_53.txt,False,0.0737
n=8_r=200_l=2_m=40_54.txt,True,0.0848
n=8_r=200_l=2_m=40_55.txt,True,0.1013
n=8_r=200_l=2_m=40_56.txt,True,0.5341
n=8_r=200_l=2_m=40_57.txt,True,0.4220
n=8_r=200_l=2_m=40_58.txt,True,0.0954
n=8_r=200_l=2_m=40_59.txt,False,0.0495
n=8_r=200_l=2_m=40_60.txt,False,0.0593
n=8_r=200_l=2_m=40_61.txt,False,0.0613
n=8_r=200_l=2_m=40_62.txt,False,3.1659
n=8_r=200_l=2_m=40_63.txt,False,0.0998
n=8_r=200_l=2_m=40_64.txt,True,0.0750
n=8_r=200_l=2_m=40_65.txt,True,1.6920
n=8_r=200_l=2_m=40_66.txt,True,0.2788
n=8_r=200_l=2_m=40_67.txt,True,0.7242
n=8_r=200_l=2_m=40_68.txt,False,0.1279
n=8_r=200_l=2_m=40_69.txt,False,0.0921
n=8_r=200_l=2_m=40_70.txt,True,0.6067
n=8_r=200_l=2_m=40_71.txt,False,0.9150
n=8_r=200_l=2_m=40_72.txt,False,0.0541
n=8_r=200_l=2_m=40_73.txt,False,0.0628
n=8_r=200_l=2_m=40_74.txt,True,0.1234
n=8_r=200_l=2_m=40_75.txt,True,0.0613
n=8_r=200_l=2_m=40_76.txt,True,0.0756
n=8_r=200_l=2_m=40_77.txt,True,0.2788
n=8_r=200_l=2_m=40_78.txt,False,0.0583
n=8_r=200_l=2_m=40_79.txt,True,0.0709
n=8_r=200_l=2_m=40_80.txt,False,0.3221
n=8_r=200_l=2_m=40_81.txt,False,0.0598
n=8_r=200_l=2_m=40_82.txt,True,0.3794
n=8_r=200_l=2_m=40_83.txt,False,0.0592
n=8_r=200_l=2_m=40_84.txt,True,0.0986
n=8_r=200_l=2_m=40_85.txt,False,0.1353
n=8_r=200_l=2_m=40_86.txt,True,0.0725
n=8_r=200_l=2_m=40_87.txt,False,1.0107
n=8_r=200_l=2_m=40_88.txt,True,0.0721
n=8_r=200_l=2_m=40_89.txt,True,0.2325
n=8_r=200_l=2_m=40_90.txt,True,0.1293
n=8_r=200_l=2_m=40_91.txt,True,0.0681
n=8_r=200_l=2_m=40_92.txt,False,0.0573
n=8_r=200_l=2_m=40_93.txt,True,0.2882
n=8_r=200_l=2_m=40_94.txt,True,0.1281
n=8_r=200_l=2_m=40_95.txt,True,1.8659
n=8_r=200_l=2_m=40_96.txt,True,0.1025
n=8_r=200_l=2_m=40_97.txt,False,0.1206
n=8_r=200_l=2_m=40_98.txt,True,0.1458
n=8_r=200_l=2_m=40_99.txt,True,0.0974
