filename,ILP level<=1?,ILP runtime
n=8_r=100_l=2_m=20_0.txt,True,0.0525
n=8_r=100_l=2_m=20_1.txt,False,0.2337
n=8_r=100_l=2_m=20_2.txt,True,0.0458
n=8_r=100_l=2_m=20_3.txt,False,0.0327
n=8_r=100_l=2_m=20_4.txt,False,0.0358
n=8_r=100_l=2_m=20_5.txt,False,0.0335
n=8_r=100_l=2_m=20_6.txt,True,0.0350
n=8_r=100_l=2_m=20_7.txt,False,0.0293
n=8_r=100_l=2_m=20_8.txt,False,0.0266
n=8_r=100_l=2_m=20_9.txt,True,0.1979
n=8_r=100_l=2_m=20_10.txt,True,0.0400
n=8_r=100_l=2_m=20_11.txt,True,0.0366
n=8_r=100_l=2_m=20_12.txt,True,0.0794
n=8_r=100_l=2_m=20_13.txt,False,0.0350
n=8_r=100_l=2_m=20_14.txt,True,0.0343
n=8_r=100_l=2_m=20_15.txt,True,0.0412
n=8_r=100_l=2_m=20_16.txt,True,0.0400
n=8_r=100_l=2_m=20_17.txt,True,0.1646
n=8_r=100_l=2_m=20_18.txt,True,0.0470
n=8_r=100_l=2_m=20_19.txt,True,0.0365
n=8_r=100_l=2_m=20_20.txt,True,0.0367
n=8_r=100_l=2_m=20_21.txt,False,0.0315
n=8_r=100_l=2_m=20_22.txt,True,0.0636
n=8_r=100_l=2_m=20_23.txt,True,0.0421
n=8_r=100_l=2_m=20_24.txt,True,0.0351
n=8_r=100_l=2_m=20_25.txt,False,0.0276
n=8_r=100_l=2_m=20_26.txt,True,0.0371
n=8_r=100_l=2_m=20_27.txt,True,0.0768
n=8_r=100_l=2_m=20_28.txt,True,0.0349
n=8_r=100_l=2_m=20_29.txt,False,0.0265
n=8_r=100_l=2_m=20_30.txt,True,0.0415
n=8_r=100_l=2_m=20_31.txt,True,0.1899
n=8_r=100_l=2_m=20_32.txt,True,0.0371
n=8_r=100_l=2_m=20_33.txt,True,0.0355
n=8_r=100_l=2_m=20_34.txt,True,0.0354
n=8_r=100_l=2_m=20_35.txt,False,0.0310
n=8_r=100_l=2_m=20_36.txt,True,0.0458
n=8_r=100_l=2_m=20_37.txt,True,0.0356
n=8_r=100_l=2_m=20_38.txt,True,0.0344
n=8_r=100_l=2_m=20_39.txt,True,0.0447
n=8_r=100_l=2_m=20_40.txt,False,0.0352
n=8_r=100_l=2_m=20_41.txt,True,0.0440
n=8_r=100_l=2_m=20_42.txt,False,0.0316
n=8_r=100_l=2_m=20_43.txt,False,0.0312
n=8_r=100_l=2_m=20_44.txt,True,0.0386
n=8_r=100_l=2_m=20_45.txt,True,0.0443
n=8_r=100_l=2_m=20_46.txt,False,0.0304
n=8_r=100_l=2_m=20_47.txt,True,0.0341
n=8_r=100_l=2_m=20_48.txt,True,0.0425
n=8_r=100_l=2_m=20_49.txt,True,0.0368
