filename,ILP level<=1?,ILP runtime
n=8_r=500_l=2_m=100_0.txt,False,0.9616
n=8_r=500_l=2_m=100_1.txt,True,0.9674
n=8_r=500_l=2_m=100_2.txt,True,4.1878
n=8_r=500_l=2_m=100_3.txt,True,1.5974
n=8_r=500_l=2_m=100_4.txt,True,5.9866
n=8_r=500_l=2_m=100_5.txt,False,13.1382
n=8_r=500_l=2_m=100_6.txt,True,1.4854
n=8_r=500_l=2_m=100_7.txt,True,4.1327
n=8_r=500_l=2_m=100_8.txt,False,1.8936
n=8_r=500_l=2_m=100_9.txt,False,9.0969
n=8_r=500_l=2_m=100_10.txt,True,2.9760
n=8_r=500_l=2_m=100_11.txt,False,0.1294
n=8_r=500_l=2_m=100_12.txt,True,0.7308
n=8_r=500_l=2_m=100_13.txt,True,16.6025
n=8_r=500_l=2_m=100_14.txt,False,17.0963
n=8_r=500_l=2_m=100_15.txt,True,0.2146
n=8_r=500_l=2_m=100_16.txt,True,0.8468
n=8_r=500_l=2_m=100_17.txt,False,0.1298
n=8_r=500_l=2_m=100_18.txt,True,1.9756
n=8_r=500_l=2_m=100_19.txt,True,6.2991
n=8_r=500_l=2_m=100_20.txt,True,4.5580
n=8_r=500_l=2_m=100_21.txt,True,7.6536
n=8_r=500_l=2_m=100_22.txt,False,0.1391
n=8_r=500_l=2_m=100_23.txt,True,1.4376
n=8_r=500_l=2_m=100_24.txt,False,2.2227
n=8_r=500_l=2_m=100_25.txt,True,0.2074
n=8_r=500_l=2_m=100_26.txt,True,1.1922
n=8_r=500_l=2_m=100_27.txt,True,13.4535
n=8_r=500_l=2_m=100_28.txt,False,0.1479
n=8_r=500_l=2_m=100_29.txt,False,10.9273
n=8_r=500_l=2_m=100_30.txt,False,3.5807
n=8_r=500_l=2_m=100_31.txt,True,0.6782
n=8_r=500_l=2_m=100_32.txt,False,0.1285
n=8_r=500_l=2_m=100_33.txt,False,0.1572
n=8_r=500_l=2_m=100_34.txt,True,15.0049
