filename,ILP level<=1?,ILP runtime
n=8_r=600_l=2_m=120_0.txt,False,0.1656
n=8_r=600_l=2_m=120_1.txt,True,3.7249
n=8_r=600_l=2_m=120_2.txt,False,1.5125
n=8_r=600_l=2_m=120_3.txt,False,1.5728
n=8_r=600_l=2_m=120_4.txt,True,30.0834
n=8_r=600_l=2_m=120_5.txt,True,22.1069
n=8_r=600_l=2_m=120_6.txt,False,14.9568
n=8_r=600_l=2_m=120_7.txt,True,4.8041
n=8_r=600_l=2_m=120_8.txt,True,11.4283
n=8_r=600_l=2_m=120_9.txt,True,2.9466
n=8_r=600_l=2_m=120_10.txt,True,23.5051
n=8_r=600_l=2_m=120_11.txt,True,7.6392
n=8_r=600_l=2_m=120_12.txt,True,11.5499
n=8_r=600_l=2_m=120_13.txt,True,5.2027
n=8_r=600_l=2_m=120_14.txt,True,5.5549
n=8_r=600_l=2_m=120_15.txt,True,20.9601
n=8_r=600_l=2_m=120_16.txt,True,23.3082
n=8_r=600_l=2_m=120_17.txt,False,0.1839
n=8_r=600_l=2_m=120_18.txt,True,12.8151
n=8_r=600_l=2_m=120_19.txt,False,0.1785
n=8_r=600_l=2_m=120_20.txt,True,16.6440
n=8_r=600_l=2_m=120_21.txt,True,17.7174
n=8_r=600_l=2_m=120_22.txt,False,0.1633
n=8_r=600_l=2_m=120_23.txt,False,15.6187
n=8_r=600_l=2_m=120_24.txt,True,17.8471
n=8_r=600_l=2_m=120_25.txt,False,23.1613
n=8_r=600_l=2_m=120_26.txt,False,0.1762
n=8_r=600_l=2_m=120_27.txt,True,20.3975
n=8_r=600_l=2_m=120_28.txt,True,2.5898
n=8_r=600_l=2_m=120_29.txt,True,1.6393
n=8_r=600_l=2_m=120_30.txt,True,1.0391
n=8_r=600_l=2_m=120_31.txt,True,2.1076
n=8_r=600_l=2_m=120_32.txt,True,6.9209
n=8_r=600_l=2_m=120_33.txt,True,5.5923
n=8_r=600_l=2_m=120_34.txt,False,0.1581
n=8_r=600_l=2_m=120_35.txt,True,21.4956
n=8_r=600_l=2_m=120_36.txt,False,0.1794
n=8_r=600_l=2_m=120_37.txt,False,0.1707
n=8_r=600_l=2_m=120_38.txt,True,12.1876
n=8_r=600_l=2_m=120_39.txt,True,13.9228
n=8_r=600_l=2_m=120_40.txt,True,14.6798
n=8_r=600_l=2_m=120_41.txt,False,12.8342
n=8_r=600_l=2_m=120_42.txt,False,0.1552
n=8_r=600_l=2_m=120_43.txt,True,1.4664
n=8_r=600_l=2_m=120_44.txt,False,2.5523
n=8_r=600_l=2_m=120_45.txt,False,17.5129
n=8_r=600_l=2_m=120_46.txt,False,18.1610
n=8_r=600_l=2_m=120_47.txt,True,2.1435
n=8_r=600_l=2_m=120_48.txt,False,1.7755
n=8_r=600_l=2_m=120_49.txt,True,4.5763
n=8_r=600_l=2_m=120_50.txt,True,10.2591
n=8_r=600_l=2_m=120_51.txt,False,0.1813
n=8_r=600_l=2_m=120_52.txt,True,8.4411
n=8_r=600_l=2_m=120_53.txt,True,11.4809
n=8_r=600_l=2_m=120_54.txt,True,80.0012
n=8_r=600_l=2_m=120_55.txt,False,0.2607
n=8_r=600_l=2_m=120_56.txt,False,0.1638
n=8_r=600_l=2_m=120_57.txt,False,43.9449
n=8_r=600_l=2_m=120_58.txt,True,1.7099
n=8_r=600_l=2_m=120_59.txt,False,0.1559
n=8_r=600_l=2_m=120_60.txt,False,1.5939
n=8_r=600_l=2_m=120_61.txt,True,15.5273
n=8_r=600_l=2_m=120_62.txt,False,0.1521
n=8_r=600_l=2_m=120_63.txt,True,8.0701
n=8_r=600_l=2_m=120_64.txt,True,3.9980
n=8_r=600_l=2_m=120_65.txt,True,15.1904
n=8_r=600_l=2_m=120_66.txt,True,5.9687
n=8_r=600_l=2_m=120_67.txt,True,1.7932
n=8_r=600_l=2_m=120_68.txt,False,0.5292
n=8_r=600_l=2_m=120_69.txt,False,0.4152
