filename,ILP level<=1?,ILP runtime
n=8_r=700_l=2_m=140_0.txt,False,29.0151
n=8_r=700_l=2_m=140_1.txt,True,21.3769
n=8_r=700_l=2_m=140_2.txt,True,0.3905
n=8_r=700_l=2_m=140_3.txt,True,33.4650
n=8_r=700_l=2_m=140_4.txt,False,18.1154
n=8_r=700_l=2_m=140_5.txt,True,32.5534
n=8_r=700_l=2_m=140_6.txt,False,0.1980
n=8_r=700_l=2_m=140_7.txt,False,2.7065
n=8_r=700_l=2_m=140_8.txt,True,36.8410
n=8_r=700_l=2_m=140_9.txt,False,0.1976
n=8_r=700_l=2_m=140_10.txt,True,0.3429
n=8_r=700_l=2_m=140_11.txt,False,0.1922
n=8_r=700_l=2_m=140_12.txt,True,2.1756
n=8_r=700_l=2_m=140_13.txt,False,11.3919
n=8_r=700_l=2_m=140_14.txt,False,18.7866
n=8_r=700_l=2_m=140_15.txt,False,1.7140
n=8_r=700_l=2_m=140_16.txt,True,15.8868
n=8_r=700_l=2_m=140_17.txt,True,6.1126
n=8_r=700_l=2_m=140_18.txt,True,9.2207
n=8_r=700_l=2_m=140_19.txt,False,18.7149
n=8_r=700_l=2_m=140_20.txt,False,22.9677
n=8_r=700_l=2_m=140_21.txt,True,8.7979
n=8_r=700_l=2_m=140_22.txt,True,4.5982
n=8_r=700_l=2_m=140_23.txt,False,2.8267
n=8_r=700_l=2_m=140_24.txt,False,20.2146
n=8_r=700_l=2_m=140_25.txt,False,13.1257
n=8_r=700_l=2_m=140_26.txt,True,19.0168
n=8_r=700_l=2_m=140_27.txt,True,241.2621
n=8_r=700_l=2_m=140_28.txt,False,0.2058
n=8_r=700_l=2_m=140_29.txt,True,3.2461
n=8_r=700_l=2_m=140_30.txt,False,0.1837
n=8_r=700_l=2_m=140_31.txt,True,12.0188
n=8_r=700_l=2_m=140_32.txt,False,15.7672
n=8_r=700_l=2_m=140_33.txt,True,14.1402
n=8_r=700_l=2_m=140_34.txt,False,0.1918
n=8_r=700_l=2_m=140_35.txt,False,4.5485
n=8_r=700_l=2_m=140_36.txt,False,23.3484
n=8_r=700_l=2_m=140_37.txt,True,25.2510
n=8_r=700_l=2_m=140_38.txt,False,0.2018
n=8_r=700_l=2_m=140_39.txt,True,60.6542
n=8_r=700_l=2_m=140_40.txt,False,4.5186
n=8_r=700_l=2_m=140_41.txt,False,14.0626
n=8_r=700_l=2_m=140_42.txt,True,10.5571
n=8_r=700_l=2_m=140_43.txt,False,13.6103
n=8_r=700_l=2_m=140_44.txt,False,3.7392
n=8_r=700_l=2_m=140_45.txt,True,13.7262
n=8_r=700_l=2_m=140_46.txt,True,13.4537
n=8_r=700_l=2_m=140_47.txt,True,9.8127
n=8_r=700_l=2_m=140_48.txt,False,0.1763
n=8_r=700_l=2_m=140_49.txt,False,0.2112
n=8_r=700_l=2_m=140_50.txt,True,2.0761
n=8_r=700_l=2_m=140_51.txt,False,1.7306
n=8_r=700_l=2_m=140_52.txt,False,28.1628
n=8_r=700_l=2_m=140_53.txt,True,18.7742
n=8_r=700_l=2_m=140_54.txt,False,34.3550
n=8_r=700_l=2_m=140_55.txt,False,38.4523
n=8_r=700_l=2_m=140_56.txt,False,42.2845
n=8_r=700_l=2_m=140_57.txt,True,1.6680
n=8_r=700_l=2_m=140_58.txt,True,29.0809
n=8_r=700_l=2_m=140_59.txt,False,14.0908
n=8_r=700_l=2_m=140_60.txt,True,29.0363
n=8_r=700_l=2_m=140_61.txt,True,17.8853
n=8_r=700_l=2_m=140_62.txt,False,19.1675
n=8_r=700_l=2_m=140_63.txt,True,14.3987
n=8_r=700_l=2_m=140_64.txt,True,2.9737
n=8_r=700_l=2_m=140_65.txt,False,30.7701
n=8_r=700_l=2_m=140_66.txt,True,10.7654
n=8_r=700_l=2_m=140_67.txt,True,20.7424
n=8_r=700_l=2_m=140_68.txt,True,2.0945
n=8_r=700_l=2_m=140_69.txt,True,27.9537
n=8_r=700_l=2_m=140_70.txt,False,0.2490
n=8_r=700_l=2_m=140_71.txt,True,1.1994
n=8_r=700_l=2_m=140_72.txt,False,0.1797
n=8_r=700_l=2_m=140_73.txt,True,11.6243
n=8_r=700_l=2_m=140_74.txt,True,4.9219
n=8_r=700_l=2_m=140_75.txt,False,22.1762
n=8_r=700_l=2_m=140_76.txt,False,33.8460
n=8_r=700_l=2_m=140_77.txt,False,24.5319
n=8_r=700_l=2_m=140_78.txt,True,39.0241
n=8_r=700_l=2_m=140_79.txt,True,2.7082
n=8_r=700_l=2_m=140_80.txt,True,17.7562
n=8_r=700_l=2_m=140_81.txt,False,27.4879
n=8_r=700_l=2_m=140_82.txt,True,8.2571
n=8_r=700_l=2_m=140_83.txt,True,33.4674
n=8_r=700_l=2_m=140_84.txt,True,28.6484
n=8_r=700_l=2_m=140_85.txt,False,0.2072
n=8_r=700_l=2_m=140_86.txt,False,22.6268
n=8_r=700_l=2_m=140_87.txt,True,27.3221
n=8_r=700_l=2_m=140_88.txt,True,12.1238
n=8_r=700_l=2_m=140_89.txt,True,22.7674
n=8_r=700_l=2_m=140_90.txt,True,12.3695
n=8_r=700_l=2_m=140_91.txt,True,7.7480
n=8_r=700_l=2_m=140_92.txt,False,25.8966
n=8_r=700_l=2_m=140_93.txt,False,19.6588
n=8_r=700_l=2_m=140_94.txt,True,15.4751
n=8_r=700_l=2_m=140_95.txt,False,0.1812
n=8_r=700_l=2_m=140_96.txt,False,403.8290
n=8_r=700_l=2_m=140_97.txt,True,0.3261
n=8_r=700_l=2_m=140_98.txt,False,0.2522
n=8_r=700_l=2_m=140_99.txt,True,2.1972
