Input file,Exact minimum level,Heuristic minimum level,Heuristic runtime,ILP Form2 level,ILP Form2 runtime,ILP Form2 objective
n=8_r=18_0.txt,3,3,0.0783,3,0.0515,4.0
n=8_r=18_1.txt,1,1,0.2887,1,0.0418,0.0
n=8_r=18_2.txt,1,1,0.1389,1,0.0504,0.0
n=8_r=18_3.txt,1,1,0.0387,1,0.0483,0.0
n=8_r=18_4.txt,3,3,0.0539,3,0.0512,3.0
n=8_r=18_5.txt,3,3,0.4819,3,0.0434,4.0
n=8_r=18_7.txt,1,1,0.265,1,0.0473,0.0
n=8_r=18_8.txt,1,1,0.023,1,0.052,0.0
n=8_r=18_9.txt,1,1,0.0483,1,0.0435,0.0
n=8_r=18_10.txt,1,1,0.0047,1,0.0495,0.0
n=8_r=18_11.txt,1,1,0.0137,1,0.0457,0.0
n=8_r=18_14.txt,1,1,0.0286,1,0.0507,0.0
n=8_r=18_15.txt,1,1,0.0095,1,0.0366,0.0
n=8_r=18_16.txt,1,1,0.0556,1,0.049,0.0
n=8_r=18_17.txt,2,3,0.02,3,0.0455,3.0
n=8_r=18_18.txt,1,1,0.1241,1,0.0518,0.0
n=8_r=18_19.txt,1,1,0.0012,1,0.0514,0.0
n=8_r=18_20.txt,1,1,0.0559,1,0.0476,0.0
n=8_r=18_21.txt,2,2,0.0871,3,0.0496,5.0
n=8_r=18_23.txt,1,1,0.0074,1,0.0575,0.0
n=8_r=18_24.txt,2,2,0.0027,2,0.0556,2.0
