Input file,Exact minimum level,Heuristic minimum level,Heuristic runtime,ILP Form2 level,ILP Form2 runtime,ILP Form2 objective
n=8_r=32_0.txt,2,2,0.0346,2,0.1358,3.0
n=8_r=32_1.txt,2,2,0.2065,2,0.1622,3.0
n=8_r=32_2.txt,1,1,0.0397,1,0.1207,0.0
n=8_r=32_3.txt,2,2,3.6144,2,0.138,4.0
n=8_r=32_4.txt,2,2,3.0446,2,0.195,3.0
n=8_r=32_5.txt,2,2,0.0706,2,0.1212,3.0
n=8_r=32_6.txt,4,4,0.0103,4,0.1469,17.0
n=8_r=32_7.txt,2,3,0.4625,2,0.1291,6.0
n=8_r=32_8.txt,1,2,0.1363,1,0.1299,0.0
n=8_r=32_9.txt,3,3,0.4404,3,0.14,3.0
n=8_r=32_10.txt,4,4,0.7858,4,0.1338,9.0
n=8_r=32_11.txt,4,4,0.2286,5,0.1868,12.0
n=8_r=32_12.txt,1,1,0.0675,1,0.1689,0.0
n=8_r=32_13.txt,2,2,0.0289,2,0.1223,2.0
n=8_r=32_14.txt,2,2,0.1915,2,0.1918,6.0
n=8_r=32_15.txt,2,2,1.17,3,0.1643,5.0
n=8_r=32_16.txt,3,3,3.5009,3,0.1801,5.0
n=8_r=32_17.txt,2,2,0.5946,2,0.1462,2.0
n=8_r=32_18.txt,2,2,2.6597,2,0.1545,2.0
n=8_r=32_19.txt,1,1,0.0856,1,0.117,0.0
n=8_r=32_20.txt,2,2,0.1155,2,0.1387,1.0
n=8_r=32_21.txt,4,4,0.3277,4,0.1942,10.0
n=8_r=32_22.txt,3,3,0.9211,3,0.1618,7.0
n=8_r=32_23.txt,3,3,0.3512,3,0.1544,8.0
n=8_r=32_24.txt,4,4,0.027,4,0.1786,9.0
