Input file,Exact minimum level,Heuristic minimum level,Heuristic runtime,ILP Form2 level,ILP Form2 runtime,ILP Form2 objective
n=8_r=28_0.txt,1,1,0.0074,1,0.1251,0.0
n=8_r=28_1.txt,2,2,0.077,2,0.105,1.0
n=8_r=28_2.txt,2,2,0.0447,2,0.1159,6.0
n=8_r=28_3.txt,1,1,0.0227,1,0.5628,0.0
n=8_r=28_4.txt,4,4,0.2853,5,0.2033,11.0
n=8_r=28_5.txt,4,4,0.2158,4,0.1286,7.0
n=8_r=28_6.txt,1,1,0.0254,1,0.1154,0.0
n=8_r=28_7.txt,1,1,0.0039,1,0.0977,0.0
n=8_r=28_8.txt,2,2,1.2499,2,0.1039,4.0
n=8_r=28_9.txt,2,2,0.0291,2,0.0984,2.0
n=8_r=28_10.txt,1,1,0.0991,1,0.1006,0.0
n=8_r=28_11.txt,3,3,1.0341,3,0.1053,4.0
n=8_r=28_12.txt,3,3,0.1045,3,0.1066,5.0
n=8_r=28_13.txt,3,3,0.9382,3,0.1273,3.0
n=8_r=28_14.txt,7,7,1.8732,7,0.0944,17.0
n=8_r=28_15.txt,2,2,0.1087,2,0.1112,4.0
n=8_r=28_16.txt,1,1,0.758,1,0.1084,0.0
n=8_r=28_17.txt,4,4,0.2128,5,0.1246,7.0
n=8_r=28_18.txt,1,1,1.0274,1,0.0914,0.0
n=8_r=28_19.txt,3,3,0.1951,3,0.1023,5.0
n=8_r=28_20.txt,1,1,0.103,1,0.1067,0.0
n=8_r=28_21.txt,2,2,0.2646,2,0.1251,6.0
n=8_r=28_22.txt,2,2,0.0265,2,0.1069,1.0
n=8_r=28_23.txt,2,3,0.0469,3,0.1091,3.0
n=8_r=28_24.txt,2,2,0.0777,2,0.1012,2.0
