Input file,Exact minimum level,Heuristic minimum level,Heuristic runtime,ILP Form2 level,ILP Form2 runtime,ILP Form2 objective
n=8_r=31_0.txt,1,2,0.0304,1,0.1652,0.0
n=8_r=31_1.txt,2,3,0.0255,3,0.1305,6.0
n=8_r=31_2.txt,1,1,0.2363,1,0.1434,0.0
n=8_r=31_3.txt,1,1,0.0209,1,0.1357,0.0
n=8_r=31_4.txt,1,1,0.1971,1,0.152,0.0
n=8_r=31_5.txt,1,2,0.3019,1,0.1318,0.0
n=8_r=31_6.txt,2,2,0.9136,2,0.128,3.0
n=8_r=31_7.txt,1,1,0.0202,1,0.1291,0.0
n=8_r=31_8.txt,2,2,1.1522,2,0.1251,6.0
n=8_r=31_9.txt,2,2,0.1527,2,0.1428,1.0
n=8_r=31_10.txt,2,3,0.1603,3,0.1122,3.0
n=8_r=31_11.txt,2,2,1.6932,2,0.119,3.0
n=8_r=31_12.txt,3,3,12.4611,3,0.2216,13.0
n=8_r=31_13.txt,1,1,4.6465,1,0.1206,0.0
n=8_r=31_14.txt,2,2,0.0357,3,0.1769,10.0
n=8_r=31_15.txt,1,1,0.0107,1,0.1253,0.0
n=8_r=31_16.txt,1,1,0.0424,1,0.1025,0.0
n=8_r=31_17.txt,4,4,13.1761,4,0.195,18.0
n=8_r=31_18.txt,2,3,0.0379,3,0.1809,10.0
n=8_r=31_19.txt,2,2,0.0027,3,0.1693,5.0
n=8_r=31_20.txt,2,2,0.4721,2,0.1286,1.0
n=8_r=31_21.txt,1,1,1.0366,1,0.1322,0.0
n=8_r=31_22.txt,3,3,5.6511,4,0.2214,10.0
n=8_r=31_23.txt,2,2,3.5999,2,0.1277,1.0
n=8_r=31_24.txt,2,3,0.0387,3,0.1848,6.0
