Input file,Exact minimum level,Heuristic minimum level,Heuristic runtime,ILP Form2 level,ILP Form2 runtime,ILP Form2 objective
n=8_r=21_0.txt,1,1,0.003,1,0.0542,0.0
n=8_r=21_1.txt,1,1,0.1285,1,0.0609,0.0
n=8_r=21_2.txt,2,2,0.0055,2,0.0573,2.0
n=8_r=21_3.txt,2,2,0.0152,2,0.0647,2.0
n=8_r=21_4.txt,1,1,0.0203,1,0.0612,0.0
n=8_r=21_5.txt,2,2,0.0503,2,0.1822,3.0
n=8_r=21_6.txt,2,2,0.1733,2,0.0604,3.0
n=8_r=21_7.txt,2,2,0.0079,2,0.0677,1.0
n=8_r=21_8.txt,1,1,0.0098,1,0.0675,0.0
n=8_r=21_9.txt,1,1,0.0204,1,0.069,0.0
n=8_r=21_10.txt,4,4,0.1037,5,0.0774,12.0
n=8_r=21_11.txt,2,2,0.0089,2,0.1001,3.0
n=8_r=21_12.txt,2,2,0.1458,3,0.0705,4.0
n=8_r=21_13.txt,1,1,0.0043,1,0.0951,0.0
n=8_r=21_14.txt,1,1,0.0843,1,0.0661,0.0
n=8_r=21_15.txt,2,2,0.012,2,0.0756,3.0
n=8_r=21_16.txt,1,1,0.0066,1,0.0665,0.0
n=8_r=21_17.txt,3,3,0.0169,3,0.0593,6.0
n=8_r=21_18.txt,1,1,0.0941,1,0.0649,0.0
n=8_r=21_19.txt,1,1,0.0305,1,0.0682,0.0
n=8_r=21_20.txt,2,2,0.3864,2,0.07,1.0
n=8_r=21_21.txt,1,1,0.09,1,0.061,0.0
n=8_r=21_22.txt,1,1,0.0042,1,0.067,0.0
n=8_r=21_23.txt,2,2,0.0107,2,0.0603,1.0
n=8_r=21_24.txt,1,1,0.0022,1,0.0672,0.0
