Input file,Exact minimum level,Heuristic minimum level,Heuristic runtime,ILP Form2 level,ILP Form2 runtime,ILP Form2 objective
n=8_r=13_5.txt,1,1,0.0122,1,0.0264,0.0
n=8_r=13_6.txt,1,1,0.027,1,0.0267,0.0
n=8_r=13_10.txt,1,1,0.0391,1,0.0269,0.0
n=8_r=13_11.txt,1,1,0.005,1,0.0301,0.0
n=8_r=13_13.txt,1,1,0.0086,1,0.0353,0.0
n=8_r=13_14.txt,2,2,0.0676,2,0.0293,1.0
n=8_r=13_15.txt,1,1,0.0186,1,0.0274,0.0
n=8_r=13_16.txt,1,1,0.0458,1,0.0217,0.0
n=8_r=13_17.txt,1,1,0.03,1,0.0214,0.0
n=8_r=13_18.txt,1,1,0.0217,1,0.0355,0.0
n=8_r=13_19.txt,1,1,0.0019,1,0.0347,0.0
n=8_r=13_20.txt,1,1,0.0073,1,0.0231,0.0
n=8_r=13_22.txt,2,2,0.0149,2,0.0275,2.0
n=8_r=13_23.txt,2,2,0.01,2,0.0265,2.0
