Input file,Exact minimum level,Heuristic minimum level,Heuristic runtime,ILP Form2 level,ILP Form2 runtime,ILP Form2 objective
n=8_r=35_0.txt,1,1,1.2747,1,0.1523,0.0
n=8_r=35_1.txt,5,5,15.3349,5,0.3681,24.0
n=8_r=35_2.txt,2,2,0.735,2,0.179,2.0
n=8_r=35_3.txt,5,5,0.691,5,0.1914,14.0
n=8_r=35_4.txt,1,1,9.6521,1,0.1825,0.0
n=8_r=35_5.txt,5,5,2.1628,5,0.2659,13.0
n=8_r=35_6.txt,3,3,0.1006,3,0.1701,12.0
n=8_r=35_7.txt,3,3,11.6749,3,0.3053,7.0
n=8_r=35_8.txt,2,3,0.4571,2,0.2013,7.0
n=8_r=35_9.txt,2,3,0.2075,3,0.2077,6.0
n=8_r=35_10.txt,7,7,0.2219,7,0.2069,27.0
n=8_r=35_11.txt,3,3,0.9098,3,0.227,6.0
n=8_r=35_12.txt,3,3,0.993,4,0.5987,11.0
n=8_r=35_13.txt,2,2,0.0154,2,0.179,2.0
n=8_r=35_14.txt,2,2,0.3112,2,0.3028,5.0
n=8_r=35_15.txt,2,3,0.4868,2,0.1705,2.0
n=8_r=35_16.txt,3,3,37.9223,3,0.1594,9.0
n=8_r=35_17.txt,5,6,0.0354,7,0.3492,18.0
n=8_r=35_18.txt,6,6,7.8757,7,0.2622,21.0
n=8_r=35_19.txt,2,2,0.0253,2,0.1457,7.0
n=8_r=35_20.txt,2,3,0.3075,2,0.1708,2.0
n=8_r=35_21.txt,1,1,0.0868,1,0.1783,0.0
n=8_r=35_22.txt,4,4,2.5669,4,0.166,11.0
n=8_r=35_23.txt,7,7,3.6352,7,0.1801,23.0
n=8_r=35_24.txt,4,4,1.385,4,0.2288,18.0
