Input file,Exact minimum level,Heuristic minimum level,Heuristic runtime,ILP Form2 level,ILP Form2 runtime,ILP Form2 objective
n=8_r=12_0.txt,1,1,0.0034,1,0.0231,0.0
n=8_r=12_1.txt,1,1,0.0222,1,0.0216,0.0
n=8_r=12_2.txt,1,1,0.0104,1,0.0329,0.0
n=8_r=12_3.txt,1,1,0.0097,1,0.0229,0.0
n=8_r=12_5.txt,1,1,0.021,1,0.0218,0.0
n=8_r=12_6.txt,1,1,0.0019,1,0.0299,0.0
n=8_r=12_7.txt,1,1,0.0035,1,0.0213,0.0
n=8_r=12_8.txt,1,1,0.0206,1,0.0206,0.0
n=8_r=12_9.txt,1,1,0.013,1,0.0243,0.0
n=8_r=12_10.txt,1,1,0.0092,1,0.0242,0.0
n=8_r=12_11.txt,1,1,0.028,1,0.0203,0.0
n=8_r=12_12.txt,1,1,0.0064,1,0.0191,0.0
n=8_r=12_14.txt,1,1,0.0404,1,0.0211,0.0
n=8_r=12_15.txt,1,1,0.0031,1,0.0289,0.0
n=8_r=12_17.txt,1,1,0.0048,1,0.0224,0.0
n=8_r=12_18.txt,3,3,0.0278,3,0.026,5.0
n=8_r=12_19.txt,1,1,0.0279,1,0.0242,0.0
n=8_r=12_20.txt,1,1,0.0156,1,0.022,0.0
n=8_r=12_21.txt,1,1,0.0038,1,0.0213,0.0
n=8_r=12_22.txt,1,1,0.0763,1,0.0222,0.0
n=8_r=12_23.txt,2,2,0.0035,2,0.0238,1.0
