Input file,Exact minimum level,Heuristic minimum level,Heuristic runtime,ILP Form2 level,ILP Form2 runtime,ILP Form2 objective
n=8_r=29_0.txt,4,4,1.0639,4,0.1131,6.0
n=8_r=29_1.txt,1,1,0.0092,1,0.1058,0.0
n=8_r=29_2.txt,2,2,1.4523,2,0.1224,2.0
n=8_r=29_3.txt,3,3,0.0547,3,0.1165,3.0
n=8_r=29_4.txt,1,1,0.0196,1,0.129,0.0
n=8_r=29_5.txt,2,2,0.0834,2,0.1295,1.0
n=8_r=29_6.txt,4,4,2.1555,4,0.1083,13.0
n=8_r=29_7.txt,1,1,0.0326,1,0.1228,0.0
n=8_r=29_8.txt,2,2,0.0143,2,0.1124,2.0
n=8_r=29_9.txt,4,5,3.1413,5,0.1437,11.0
n=8_r=29_10.txt,2,3,0.0641,2,0.1267,4.0
n=8_r=29_11.txt,1,1,0.0371,1,0.1104,0.0
n=8_r=29_12.txt,1,1,0.0481,1,0.0982,0.0
n=8_r=29_13.txt,1,1,0.4266,1,0.1202,0.0
n=8_r=29_14.txt,5,5,1.2878,5,0.3225,12.0
n=8_r=29_15.txt,1,2,0.0536,1,0.1114,0.0
n=8_r=29_16.txt,3,3,0.2809,3,0.1309,9.0
n=8_r=29_17.txt,2,3,0.0185,3,0.139,9.0
n=8_r=29_18.txt,3,3,0.5571,5,0.128,9.0
n=8_r=29_19.txt,1,1,0.0116,1,0.0978,0.0
n=8_r=29_20.txt,3,3,0.4881,3,0.1241,6.0
n=8_r=29_21.txt,2,2,0.0364,2,0.1625,8.0
n=8_r=29_22.txt,2,2,0.4669,2,0.1522,4.0
n=8_r=29_23.txt,1,1,0.0374,1,0.0975,0.0
n=8_r=29_24.txt,2,3,0.032,2,0.1122,4.0
