Input file,Exact minimum level,Heuristic minimum level,Heuristic runtime,ILP Form2 level,ILP Form2 runtime,ILP Form2 objective
n=8_r=36_0.txt,2,2,0.4494,3,0.2741,4.0
n=8_r=36_1.txt,3,3,0.9358,4,0.1903,12.0
n=8_r=36_2.txt,1,1,0.9246,1,0.1763,0.0
n=8_r=36_3.txt,2,2,1.6675,2,0.2375,4.0
n=8_r=36_4.txt,1,1,2.7749,1,0.2108,0.0
n=8_r=36_5.txt,3,3,18.29,3,0.2329,9.0
n=8_r=36_6.txt,4,4,4.3251,6,0.2696,15.0
n=8_r=36_7.txt,2,2,5.2631,3,0.1809,5.0
n=8_r=36_8.txt,2,2,3.2981,2,0.2232,3.0
n=8_r=36_9.txt,3,3,0.4518,3,0.2337,4.0
n=8_r=36_10.txt,2,2,27.9586,2,0.1763,3.0
n=8_r=36_11.txt,4,5,7.5948,5,0.1777,11.0
n=8_r=36_12.txt,6,9,27.2805,9,0.228,24.0
n=8_r=36_13.txt,3,3,0.0101,3,0.1588,5.0
n=8_r=36_14.txt,2,2,1.0587,2,0.1835,6.0
n=8_r=36_15.txt,4,4,0.0655,5,0.2422,15.0
n=8_r=36_16.txt,4,4,6.3163,4,0.2517,10.0
n=8_r=36_17.txt,2,2,0.7015,4,0.204,6.0
n=8_r=36_18.txt,4,4,1.17,5,0.34,12.0
n=8_r=36_19.txt,3,3,0.4235,5,0.2701,10.0
n=8_r=36_20.txt,2,3,0.1914,2,0.2072,3.0
n=8_r=36_21.txt,5,5,0.0763,6,0.6017,17.0
n=8_r=36_22.txt,2,2,1.7478,2,0.3421,7.0
n=8_r=36_23.txt,3,3,0.7803,3,0.2072,8.0
n=8_r=36_24.txt,3,4,0.2806,4,0.1644,6.0
