Input file,Exact minimum level,Heuristic minimum level,Heuristic runtime,ILP Form2 level,ILP Form2 runtime,ILP Form2 objective
n=8_r=10_2.txt,1,1,0.0107,1,0.0245,0.0
n=8_r=10_7.txt,1,1,0.0088,1,0.0157,0.0
n=8_r=10_10.txt,1,1,0.0018,1,0.0173,0.0
n=8_r=10_11.txt,1,1,0.0168,1,0.018,0.0
n=8_r=10_13.txt,2,2,0.0175,2,0.0179,2.0
n=8_r=10_14.txt,1,1,0.0054,1,0.0167,0.0
n=8_r=10_16.txt,1,1,0.0061,1,0.0183,0.0
n=8_r=10_17.txt,1,1,0.0165,1,0.0176,0.0
n=8_r=10_21.txt,1,1,0.0046,1,0.0153,0.0
n=8_r=10_23.txt,1,1,0.0022,1,0.0171,0.0
