Input file,Exact minimum level,Heuristic minimum level,Heuristic runtime,ILP Form2 level,ILP Form2 runtime,ILP Form2 objective
n=8_r=26_0.txt,3,4,0.7844,4,0.1065,11.0
n=8_r=26_1.txt,1,1,0.0172,1,0.0864,0.0
n=8_r=26_2.txt,2,2,0.0497,3,0.1228,7.0
n=8_r=26_3.txt,1,1,0.0128,1,0.0786,0.0
n=8_r=26_4.txt,2,2,2.7555,2,0.0864,1.0
n=8_r=26_5.txt,1,1,0.5349,1,0.1084,0.0
n=8_r=26_6.txt,1,1,0.0352,1,0.0941,0.0
n=8_r=26_7.txt,2,2,0.106,2,0.1223,1.0
n=8_r=26_8.txt,4,4,0.4497,4,0.1367,9.0
n=8_r=26_9.txt,2,2,0.3595,2,0.0859,3.0
n=8_r=26_10.txt,2,2,0.1513,2,0.1017,3.0
n=8_r=26_11.txt,2,2,0.0752,2,0.1205,3.0
n=8_r=26_12.txt,4,4,0.0554,4,0.1096,7.0
n=8_r=26_13.txt,3,3,0.1238,3,0.1017,6.0
n=8_r=26_14.txt,1,1,0.0278,1,0.0899,0.0
n=8_r=26_15.txt,2,2,1.1398,3,0.1781,3.0
n=8_r=26_16.txt,2,2,0.0927,2,0.0853,2.0
n=8_r=26_17.txt,2,2,0.1658,2,0.1052,2.0
n=8_r=26_18.txt,1,1,0.1657,1,0.1043,0.0
n=8_r=26_19.txt,2,2,0.0414,2,0.0997,2.0
n=8_r=26_21.txt,2,2,0.0979,2,0.0963,3.0
n=8_r=26_22.txt,1,1,1.185,1,1.0247,0.0
n=8_r=26_23.txt,1,1,0.6567,1,0.0754,0.0
n=8_r=26_24.txt,1,1,2.8693,1,0.0872,0.0
