Input file,Exact minimum level,Heuristic minimum level,Heuristic runtime,ILP Form2 level,ILP Form2 runtime,ILP Form2 objective
n=8_r=27_0.txt,4,4,0.3451,4,0.1154,8.0
n=8_r=27_1.txt,2,2,0.1273,2,0.1054,3.0
n=8_r=27_2.txt,2,2,2.2825,3,0.0956,3.0
n=8_r=27_3.txt,3,3,0.0017,5,0.1147,10.0
n=8_r=27_4.txt,1,1,0.0354,1,0.0896,0.0
n=8_r=27_5.txt,1,1,0.0063,1,0.0937,0.0
n=8_r=27_6.txt,2,2,0.5228,2,0.1139,3.0
n=8_r=27_7.txt,2,2,0.0954,2,0.0862,4.0
n=8_r=27_8.txt,2,2,0.0883,2,0.1952,6.0
n=8_r=27_9.txt,4,4,0.9683,4,0.1233,9.0
n=8_r=27_10.txt,1,1,1.2312,1,0.0962,0.0
n=8_r=27_11.txt,2,3,0.0177,3,0.1231,4.0
n=8_r=27_12.txt,2,2,0.0174,2,0.0889,2.0
n=8_r=27_13.txt,1,1,0.2068,1,0.1009,0.0
n=8_r=27_14.txt,2,2,0.0057,2,0.0932,2.0
n=8_r=27_15.txt,2,2,0.0704,2,0.107,2.0
n=8_r=27_16.txt,2,2,0.2651,2,0.1008,4.0
n=8_r=27_17.txt,1,1,0.2538,1,0.1077,0.0
n=8_r=27_18.txt,4,4,0.0297,4,0.1267,15.0
n=8_r=27_19.txt,2,2,0.1539,2,0.1123,2.0
n=8_r=27_20.txt,1,1,0.2541,1,0.1063,0.0
n=8_r=27_21.txt,2,2,0.1941,2,0.1027,2.0
n=8_r=27_22.txt,2,2,0.0712,2,0.1079,2.0
n=8_r=27_23.txt,2,2,0.3854,2,0.0899,2.0
n=8_r=27_24.txt,1,1,0.0598,1,0.1243,0.0
