Input file,Exact minimum level,Heuristic minimum level,Heuristic runtime,ILP Form2 level,ILP Form2 runtime,ILP Form2 objective
n=8_r=25_0.txt,2,4,0.1748,4,0.099,4.0
n=8_r=25_1.txt,2,2,0.6327,2,0.1072,1.0
n=8_r=25_2.txt,1,1,0.012,1,0.0882,0.0
n=8_r=25_3.txt,2,2,0.0029,2,0.0841,4.0
n=8_r=25_4.txt,3,4,0.0434,4,0.0958,5.0
n=8_r=25_5.txt,5,5,0.0868,6,0.1083,11.0
n=8_r=25_6.txt,1,1,0.6586,1,0.1277,0.0
n=8_r=25_7.txt,3,3,0.0453,3,0.103,4.0
n=8_r=25_8.txt,5,6,2.4618,5,0.0917,17.0
n=8_r=25_9.txt,3,3,0.0174,3,0.0851,6.0
n=8_r=25_10.txt,1,1,0.5232,1,0.085,0.0
n=8_r=25_11.txt,1,1,0.0131,1,0.3358,0.0
n=8_r=25_12.txt,2,2,0.1193,2,0.0992,2.0
n=8_r=25_13.txt,2,2,0.0276,3,0.0861,4.0
n=8_r=25_14.txt,2,2,0.359,2,0.0794,3.0
n=8_r=25_15.txt,2,2,0.5807,2,0.1012,1.0
n=8_r=25_16.txt,2,3,0.4117,2,0.0847,2.0
n=8_r=25_17.txt,1,1,0.0267,1,0.0831,0.0
n=8_r=25_18.txt,3,3,0.0665,4,0.0949,6.0
n=8_r=25_19.txt,1,1,0.1354,1,0.0867,0.0
n=8_r=25_20.txt,6,6,0.0276,6,0.2013,18.0
n=8_r=25_21.txt,1,1,0.0774,1,0.0755,0.0
n=8_r=25_22.txt,1,2,4.8036,1,0.0928,0.0
n=8_r=25_23.txt,4,4,0.2368,5,0.11,13.0
n=8_r=25_24.txt,1,1,2.3481,1,0.0833,0.0
