Input file,Exact minimum level,Heuristic minimum level,Heuristic runtime,ILP Form2 level,ILP Form2 runtime,ILP Form2 objective
n=8_r=24_0.txt,4,5,0.0326,5,0.1039,13.0
n=8_r=24_1.txt,2,2,0.2907,2,0.0769,1.0
n=8_r=24_2.txt,3,3,0.4426,3,0.1297,12.0
n=8_r=24_3.txt,2,2,0.0076,2,0.1273,3.0
n=8_r=24_4.txt,2,3,0.0738,2,0.0767,4.0
n=8_r=24_5.txt,2,4,0.2254,3,0.0892,8.0
n=8_r=24_6.txt,1,1,0.2476,1,0.0895,0.0
n=8_r=24_7.txt,2,2,0.0309,2,0.1055,2.0
n=8_r=24_8.txt,1,1,0.0198,1,0.077,0.0
n=8_r=24_9.txt,1,2,0.0682,1,0.1053,0.0
n=8_r=24_10.txt,2,2,0.027,2,0.0804,2.0
n=8_r=24_11.txt,3,3,0.0056,3,0.085,5.0
n=8_r=24_12.txt,2,2,0.0357,2,0.0997,3.0
n=8_r=24_13.txt,1,2,0.1107,1,0.1156,0.0
n=8_r=24_14.txt,2,3,0.8806,3,0.0901,4.0
n=8_r=24_15.txt,1,1,0.0114,1,0.0847,0.0
n=8_r=24_16.txt,1,1,0.0123,1,0.076,0.0
n=8_r=24_17.txt,1,1,0.0211,1,0.0739,0.0
n=8_r=24_18.txt,2,2,0.3839,2,0.0861,2.0
n=8_r=24_19.txt,2,2,0.011,2,0.1395,2.0
n=8_r=24_20.txt,2,2,0.0308,2,0.236,1.0
n=8_r=24_21.txt,2,2,0.1154,2,0.0717,2.0
n=8_r=24_22.txt,2,2,0.409,2,0.0832,4.0
n=8_r=24_23.txt,2,2,0.015,2,0.0826,3.0
n=8_r=24_24.txt,1,1,0.0545,1,0.0762,0.0
