Input file,Exact minimum level,Heuristic minimum level,Heuristic runtime,ILP Form2 level,ILP Form2 runtime,ILP Form2 objective
n=8_r=15_1.txt,1,1,0.0983,1,0.0351,0.0
n=8_r=15_2.txt,2,2,0.003,2,0.0482,4.0
n=8_r=15_3.txt,1,1,0.084,1,0.0351,0.0
n=8_r=15_4.txt,1,1,0.0187,1,0.0285,0.0
n=8_r=15_5.txt,1,1,0.0038,1,0.0324,0.0
n=8_r=15_6.txt,1,1,0.0034,1,0.033,0.0
n=8_r=15_7.txt,1,1,0.0443,1,0.051,0.0
n=8_r=15_10.txt,1,1,0.0131,1,0.0381,0.0
n=8_r=15_11.txt,4,4,0.0526,4,0.041,8.0
n=8_r=15_14.txt,1,1,0.0582,1,0.0339,0.0
n=8_r=15_15.txt,1,1,0.0185,1,0.0378,0.0
n=8_r=15_16.txt,2,2,0.0195,2,0.0391,2.0
n=8_r=15_17.txt,1,1,0.0123,1,0.0363,0.0
n=8_r=15_19.txt,2,2,0.0081,2,0.0332,2.0
n=8_r=15_20.txt,1,1,0.0128,1,0.0311,0.0
n=8_r=15_21.txt,1,1,0.0103,1,0.0311,0.0
n=8_r=15_22.txt,1,1,0.0081,1,0.0347,0.0
n=8_r=15_24.txt,1,1,0.0434,1,0.0319,0.0
