Input file,Exact minimum level,Heuristic minimum level,Heuristic runtime,ILP Form2 level,ILP Form2 runtime,ILP Form2 objective
n=8_r=17_0.txt,2,2,0.0253,2,0.0397,2.0
n=8_r=17_1.txt,2,2,0.0065,2,0.0399,2.0
n=8_r=17_2.txt,1,1,0.036,1,0.0579,0.0
n=8_r=17_3.txt,1,1,0.034,1,0.0446,0.0
n=8_r=17_4.txt,1,1,0.3723,1,0.0441,0.0
n=8_r=17_5.txt,1,1,0.009,1,0.0407,0.0
n=8_r=17_8.txt,1,1,0.0228,1,0.0476,0.0
n=8_r=17_9.txt,1,1,0.0075,1,0.0447,0.0
n=8_r=17_10.txt,1,1,0.0051,1,0.046,0.0
n=8_r=17_11.txt,1,1,0.0299,1,0.0417,0.0
n=8_r=17_12.txt,1,1,0.0044,1,0.0455,0.0
n=8_r=17_13.txt,2,2,0.0069,2,0.0517,2.0
n=8_r=17_14.txt,1,1,0.0125,1,0.0393,0.0
n=8_r=17_15.txt,1,1,0.007,1,0.0433,0.0
n=8_r=17_16.txt,1,1,0.0155,1,0.0429,0.0
n=8_r=17_18.txt,3,3,0.1369,3,0.0576,5.0
n=8_r=17_19.txt,4,4,0.0259,4,0.0561,11.0
n=8_r=17_20.txt,1,1,0.0047,1,0.0385,0.0
n=8_r=17_21.txt,2,2,0.0128,2,0.0371,1.0
n=8_r=17_22.txt,1,1,0.0103,1,0.0467,0.0
n=8_r=17_23.txt,1,1,0.0149,1,0.0451,0.0
n=8_r=17_24.txt,1,1,0.0168,1,0.0346,0.0
