Input file,Exact minimum level,Heuristic minimum level,Heuristic runtime,ILP Form2 level,ILP Form2 runtime,ILP Form2 objective
n=8_r=22_0.txt,3,3,0.5673,3,0.0597,6.0
n=8_r=22_1.txt,1,1,0.0083,1,0.1062,0.0
n=8_r=22_2.txt,1,1,0.0203,1,0.0533,0.0
n=8_r=22_3.txt,2,2,0.4276,2,0.0655,4.0
n=8_r=22_4.txt,1,1,0.4215,1,0.0837,0.0
n=8_r=22_5.txt,1,1,0.0122,1,0.0689,0.0
n=8_r=22_6.txt,1,1,0.0976,1,0.0679,0.0
n=8_r=22_7.txt,1,1,0.0907,1,0.0697,0.0
n=8_r=22_8.txt,4,4,0.1039,4,0.0679,7.0
n=8_r=22_9.txt,1,1,0.005,1,0.0666,0.0
n=8_r=22_10.txt,1,1,0.0155,1,0.0642,0.0
n=8_r=22_11.txt,2,3,0.0734,3,0.082,4.0
n=8_r=22_12.txt,1,1,0.341,1,0.0704,0.0
n=8_r=22_13.txt,3,3,1.0346,3,0.0723,5.0
n=8_r=22_14.txt,1,1,0.0209,1,0.0679,0.0
n=8_r=22_15.txt,2,2,0.0164,2,0.0765,3.0
n=8_r=22_16.txt,1,1,0.2837,1,0.0666,0.0
n=8_r=22_17.txt,1,1,0.0281,1,0.0585,0.0
n=8_r=22_18.txt,1,1,0.0579,1,0.0656,0.0
n=8_r=22_19.txt,2,2,0.0372,2,0.0698,2.0
n=8_r=22_20.txt,2,2,0.0145,2,0.0636,6.0
n=8_r=22_21.txt,1,1,0.1883,1,0.0658,0.0
n=8_r=22_22.txt,1,1,0.015,1,0.1451,0.0
n=8_r=22_23.txt,3,3,1.0218,3,0.0891,5.0
n=8_r=22_24.txt,2,2,0.0319,2,0.0811,2.0
