Input file,Exact minimum level,Heuristic minimum level,Heuristic runtime,ILP Form2 level,ILP Form2 runtime,ILP Form2 objective
n=8_r=34_0.txt,3,3,4.1963,3,0.1656,10.0
n=8_r=34_1.txt,5,5,3.0803,5,0.1582,12.0
n=8_r=34_2.txt,2,5,0.091,3,0.2599,8.0
n=8_r=34_3.txt,2,3,5.5996,2,0.2465,5.0
n=8_r=34_4.txt,2,2,0.0039,3,0.1478,5.0
n=8_r=34_5.txt,2,2,0.1838,2,0.1993,4.0
n=8_r=34_6.txt,1,1,0.1071,1,0.1732,0.0
n=8_r=34_7.txt,3,3,0.039,3,0.1597,7.0
n=8_r=34_8.txt,5,5,0.1225,6,0.1868,13.0
n=8_r=34_9.txt,2,2,0.2024,2,0.1381,2.0
n=8_r=34_10.txt,2,2,0.3405,2,0.1638,2.0
n=8_r=34_11.txt,4,4,0.0209,4,0.1541,15.0
n=8_r=34_12.txt,2,2,3.5959,2,0.1827,8.0
n=8_r=34_13.txt,4,5,0.484,4,0.1974,8.0
n=8_r=34_14.txt,4,7,6.1738,8,0.2804,20.0
n=8_r=34_15.txt,7,7,0.02,7,0.2241,26.0
n=8_r=34_16.txt,2,2,0.056,2,0.1689,1.0
n=8_r=34_17.txt,3,5,18.5731,3,0.1691,13.0
n=8_r=34_18.txt,3,4,0.2426,5,0.1871,12.0
n=8_r=34_19.txt,4,4,3.2655,4,0.1622,6.0
n=8_r=34_20.txt,3,3,1.3053,5,0.1918,9.0
n=8_r=34_21.txt,3,3,0.4163,4,0.1794,9.0
n=8_r=34_22.txt,3,4,0.0144,3,0.1976,9.0
n=8_r=34_23.txt,1,1,0.124,1,0.1475,0.0
n=8_r=34_24.txt,1,1,0.3696,1,0.1589,0.0
