Input file,Exact minimum level,Heuristic minimum level,Heuristic runtime,ILP Form2 level,ILP Form2 runtime,ILP Form2 objective
n=8_r=23_0.txt,2,2,0.4916,2,0.0776,1.0
n=8_r=23_1.txt,1,1,0.2782,1,0.0763,0.0
n=8_r=23_2.txt,1,1,0.273,1,0.0697,0.0
n=8_r=23_3.txt,2,2,0.0911,2,0.0627,5.0
n=8_r=23_4.txt,1,1,0.0157,1,0.0754,0.0
n=8_r=23_5.txt,1,1,0.0956,1,0.0756,0.0
n=8_r=23_6.txt,1,1,0.0054,1,0.0531,0.0
n=8_r=23_7.txt,1,1,0.0085,1,0.0627,0.0
n=8_r=23_8.txt,2,2,0.5264,3,0.0842,3.0
n=8_r=23_9.txt,2,2,0.0351,3,0.1236,2.0
n=8_r=23_10.txt,1,1,0.0246,1,0.2253,0.0
n=8_r=23_11.txt,2,2,0.0307,4,0.102,5.0
n=8_r=23_12.txt,2,2,0.0702,3,0.0807,3.0
n=8_r=23_13.txt,1,1,0.0023,1,0.071,0.0
n=8_r=23_14.txt,3,3,0.7064,4,0.0813,6.0
n=8_r=23_15.txt,2,2,0.0062,2,0.2828,2.0
n=8_r=23_16.txt,1,1,0.0093,1,0.0655,0.0
n=8_r=23_17.txt,4,4,0.1487,4,0.0859,8.0
n=8_r=23_18.txt,2,2,0.6821,2,0.1274,4.0
n=8_r=23_19.txt,1,1,0.0691,1,0.0731,0.0
n=8_r=23_20.txt,2,3,0.0085,2,0.0871,6.0
n=8_r=23_21.txt,1,1,0.6916,1,0.0753,0.0
n=8_r=23_22.txt,2,2,0.0375,2,0.0647,2.0
n=8_r=23_23.txt,3,3,1.4118,3,0.0792,10.0
n=8_r=23_24.txt,2,2,0.3493,2,0.0752,2.0
