Input file,Exact minimum level,Heuristic minimum level,Heuristic runtime,ILP Form2 level,ILP Form2 runtime,ILP Form2 objective
n=8_r=19_0.txt,1,1,0.0203,1,0.0574,0.0
n=8_r=19_1.txt,1,1,0.0331,1,0.0562,0.0
n=8_r=19_2.txt,2,2,0.0419,2,0.0662,1.0
n=8_r=19_3.txt,1,1,0.0189,1,0.0512,0.0
n=8_r=19_4.txt,2,2,0.0076,2,0.0939,1.0
n=8_r=19_5.txt,1,1,0.0053,1,0.0549,0.0
n=8_r=19_6.txt,1,1,0.0117,1,0.0719,0.0
n=8_r=19_7.txt,1,1,0.0521,1,0.0486,0.0
n=8_r=19_8.txt,1,1,0.0009,1,0.0545,0.0
n=8_r=19_9.txt,1,1,0.002,1,0.0495,0.0
n=8_r=19_10.txt,2,2,0.1235,2,0.0581,3.0
n=8_r=19_11.txt,1,1,0.0052,1,0.0523,0.0
n=8_r=19_12.txt,1,1,0.0046,1,0.0545,0.0
n=8_r=19_13.txt,3,3,0.0235,3,0.0486,4.0
n=8_r=19_15.txt,1,1,0.0347,1,0.0461,0.0
n=8_r=19_16.txt,1,1,0.0801,1,0.0559,0.0
n=8_r=19_17.txt,1,1,0.1145,1,0.0537,0.0
n=8_r=19_18.txt,1,1,0.0074,1,0.0554,0.0
n=8_r=19_19.txt,2,2,0.0821,2,0.0515,2.0
n=8_r=19_20.txt,2,2,0.387,2,0.0508,1.0
n=8_r=19_21.txt,2,2,0.0353,2,0.0522,2.0
n=8_r=19_22.txt,4,4,0.0091,4,0.0854,13.0
n=8_r=19_23.txt,1,1,0.0077,1,0.0533,0.0
n=8_r=19_24.txt,1,1,0.0009,1,0.0448,0.0
