Input file,Exact minimum level,Heuristic minimum level,Heuristic runtime,ILP Form2 level,ILP Form2 runtime,ILP Form2 objective
n=8_r=30_0.txt,5,5,0.7927,5,0.1617,11.0
n=8_r=30_1.txt,1,1,0.5786,1,0.1178,0.0
n=8_r=30_2.txt,4,5,3.6907,4,0.1397,10.0
n=8_r=30_3.txt,1,1,0.0098,1,0.109,0.0
n=8_r=30_4.txt,1,1,0.0917,1,0.1071,0.0
n=8_r=30_5.txt,1,1,0.1227,1,0.1271,0.0
n=8_r=30_6.txt,1,1,3.145,1,0.1253,0.0
n=8_r=30_7.txt,2,2,0.7837,2,0.1241,4.0
n=8_r=30_8.txt,4,4,0.4435,4,0.1703,13.0
n=8_r=30_9.txt,2,3,0.0129,3,0.1069,3.0
n=8_r=30_10.txt,3,3,1.7075,4,0.1313,6.0
n=8_r=30_11.txt,3,3,0.0258,3,0.1403,6.0
n=8_r=30_12.txt,2,2,0.014,2,0.1311,1.0
n=8_r=30_13.txt,2,3,0.0078,2,0.1579,2.0
n=8_r=30_14.txt,2,2,0.0099,2,0.118,3.0
n=8_r=30_15.txt,2,2,0.2715,2,0.1306,3.0
n=8_r=30_16.txt,1,1,0.8433,1,0.1165,0.0
n=8_r=30_17.txt,1,1,0.0528,1,0.1255,0.0
n=8_r=30_18.txt,2,2,0.1636,2,0.1196,3.0
n=8_r=30_19.txt,1,1,0.0149,1,0.1249,0.0
n=8_r=30_20.txt,4,4,0.1932,5,0.1564,13.0
n=8_r=30_21.txt,4,4,0.1564,4,0.1598,9.0
n=8_r=30_22.txt,1,1,0.0163,1,0.1262,0.0
n=8_r=30_23.txt,1,1,0.5246,1,0.127,0.0
n=8_r=30_24.txt,2,3,0.0214,3,0.1078,5.0
