Input file,Exact minimum level,Heuristic minimum level,Heuristic runtime,ILP Form2 level,ILP Form2 runtime,ILP Form2 objective
n=8_r=11_0.txt,1,1,0.0052,1,0.022,0.0
n=8_r=11_1.txt,1,1,0.0039,1,0.0194,0.0
n=8_r=11_3.txt,1,1,0.0023,1,0.0182,0.0
n=8_r=11_5.txt,1,1,0.012,1,0.019,0.0
n=8_r=11_6.txt,1,1,0.0027,1,0.0194,0.0
n=8_r=11_7.txt,1,1,0.0117,1,0.0207,0.0
n=8_r=11_8.txt,1,1,0.0046,1,0.0217,0.0
n=8_r=11_15.txt,1,1,0.0285,1,0.0233,0.0
n=8_r=11_16.txt,1,1,0.006,1,0.0167,0.0
n=8_r=11_17.txt,1,1,0.0023,1,0.0191,0.0
n=8_r=11_20.txt,1,1,0.0117,1,0.0238,0.0
