Input file,Exact minimum level,Heuristic minimum level,Heuristic runtime,ILP Form2 level,ILP Form2 runtime,ILP Form2 objective
n=8_r=33_0.txt,2,3,0.3275,2,0.1867,5.0
n=8_r=33_1.txt,1,1,0.5913,1,0.191,0.0
n=8_r=33_2.txt,3,3,0.173,4,0.1509,9.0
n=8_r=33_3.txt,2,2,2.2845,2,0.1743,7.0
n=8_r=33_4.txt,6,6,0.2383,7,0.1677,15.0
n=8_r=33_5.txt,2,2,0.0609,2,0.1501,7.0
n=8_r=33_6.txt,3,3,2.3718,3,0.1849,6.0
n=8_r=33_7.txt,5,5,0.4767,5,0.2634,21.0
n=8_r=33_8.txt,4,4,5.6347,5,0.3793,16.0
n=8_r=33_9.txt,3,3,1.7148,3,0.1472,3.0
n=8_r=33_10.txt,3,5,1.8118,5,0.1975,15.0
n=8_r=33_11.txt,4,7,0.3692,4,0.3177,25.0
n=8_r=33_12.txt,3,4,4.3246,3,0.1694,9.0
n=8_r=33_13.txt,2,2,1.4859,4,5.0265,4.0
n=8_r=33_14.txt,3,3,34.4447,3,0.1831,4.0
n=8_r=33_15.txt,2,3,0.2677,2,0.1778,3.0
n=8_r=33_16.txt,1,1,0.0984,1,0.1515,0.0
n=8_r=33_17.txt,6,6,0.1231,6,0.1979,16.0
n=8_r=33_18.txt,6,6,0.1498,6,0.1942,17.0
n=8_r=33_19.txt,2,2,0.2427,2,0.149,3.0
n=8_r=33_20.txt,2,2,0.1215,2,0.1452,2.0
n=8_r=33_21.txt,2,2,0.4067,3,0.227,11.0
n=8_r=33_22.txt,2,2,0.0333,2,0.156,5.0
n=8_r=33_23.txt,7,7,0.1199,9,0.197,35.0
n=8_r=33_24.txt,2,3,0.1579,3,0.265,4.0
