Input file,Exact minimum level,Heuristic minimum level,Heuristic runtime,ILP Form2 level,ILP Form2 runtime,ILP Form2 objective
n=8_r=16_0.txt,1,1,0.0078,1,0.0348,0.0
n=8_r=16_2.txt,1,1,0.0033,1,0.0382,0.0
n=8_r=16_3.txt,1,1,0.011,1,0.033,0.0
n=8_r=16_4.txt,1,1,0.0048,1,0.0372,0.0
n=8_r=16_5.txt,1,1,0.0061,1,0.0469,0.0
n=8_r=16_6.txt,2,2,0.0113,2,0.0574,3.0
n=8_r=16_8.txt,3,3,0.008,3,0.0435,5.0
n=8_r=16_9.txt,1,1,0.0238,1,0.0544,0.0
n=8_r=16_11.txt,1,1,0.05,1,0.0362,0.0
n=8_r=16_12.txt,1,1,0.0081,1,0.0338,0.0
n=8_r=16_13.txt,1,1,0.012,1,0.036,0.0
n=8_r=16_15.txt,1,1,0.0477,1,0.0704,0.0
n=8_r=16_16.txt,1,1,0.0124,1,0.0428,0.0
n=8_r=16_17.txt,1,1,0.0167,1,0.038,0.0
n=8_r=16_18.txt,1,1,0.0093,1,0.0382,0.0
n=8_r=16_19.txt,1,1,0.0069,1,0.0361,0.0
n=8_r=16_20.txt,3,3,0.0033,3,0.0355,5.0
n=8_r=16_21.txt,1,1,0.086,1,0.0322,0.0
n=8_r=16_22.txt,1,1,0.0397,1,0.0361,0.0
n=8_r=16_24.txt,2,2,0.0045,2,0.0416,2.0
