Input file,Exact minimum level,Heuristic minimum level,Heuristic runtime,ILP Form2 level,ILP Form2 runtime,ILP Form2 objective
n=8_r=20_0.txt,1,1,0.0686,1,0.0526,0.0
n=8_r=20_1.txt,1,1,0.007,1,0.0932,0.0
n=8_r=20_2.txt,2,2,0.0674,2,0.0588,2.0
n=8_r=20_3.txt,3,3,0.1509,3,0.0581,4.0
n=8_r=20_4.txt,1,1,0.0223,1,0.0535,0.0
n=8_r=20_5.txt,1,1,0.0228,1,0.0501,0.0
n=8_r=20_6.txt,1,1,0.0074,1,0.0568,0.0
n=8_r=20_8.txt,1,1,0.0858,1,0.0597,0.0
n=8_r=20_9.txt,1,1,0.0014,1,0.0672,0.0
n=8_r=20_10.txt,1,2,0.2464,1,0.0665,0.0
n=8_r=20_11.txt,2,3,0.0072,2,0.0604,3.0
n=8_r=20_12.txt,1,1,0.5152,1,0.0893,0.0
n=8_r=20_13.txt,1,1,0.097,1,0.0598,0.0
n=8_r=20_14.txt,1,1,0.7968,1,0.0572,0.0
n=8_r=20_15.txt,3,3,0.0777,3,0.0608,9.0
n=8_r=20_16.txt,1,1,0.0264,1,0.0675,0.0
n=8_r=20_17.txt,2,3,0.0239,3,0.0532,5.0
n=8_r=20_18.txt,1,1,0.0049,1,0.0418,0.0
n=8_r=20_19.txt,1,1,0.0093,1,0.0536,0.0
n=8_r=20_20.txt,1,1,0.1221,1,0.0558,0.0
n=8_r=20_21.txt,1,1,0.0076,1,0.0713,0.0
n=8_r=20_22.txt,1,1,0.0318,1,0.0691,0.0
n=8_r=20_23.txt,1,1,0.0072,1,0.1515,0.0
n=8_r=20_24.txt,3,3,0.0153,3,0.0907,3.0
